,東京の平均気温,部屋の平均気温
9月26日,18.5,25.10708333
9月27日,19.70416667,25.21347222
9月28日,21.52916667,25.99111111
9月29日,19.73333333,25.89319444
9月30日,19.9875,25.86180556
10月1日,19.47083333,26.01277778
10月2日,21.03333333,25.5975
10月3日,21.68333333,26.00597222
10月4日,22.02916667,26.24111111
10月5日,21.6875,25.54736111
10月6日,20.97083333,25.49333333
10月7日,18.30416667,25.64486111
10月8日,14.74583333,25.80555556
10月9日,14.5125,24.57430556
10月10日,15.95416667,25.36777778
10月11日,19.80416667,25.50069444
10月12日,21.45,25.95763889
10月13日,22.07916667,25.22541667
10月14日,20.275,25.77513889
10月15日,16.82083333,25.62819444
10月16日,16.10833333,25.48180556
10月17日,12.73333333,25.85263889
10月18日,14.32916667,26.56777778
10月19日,13.13333333,26.05861111
10月20日,15.58333333,25.74277778
10月21日,16.0375,25.21694444
10月22日,17.4375,24.08055556
10月23日,16.84583333,24.02611111
10月24日,17.27916667,24.34694444
10月25日,15.50833333,25.46652778
10月26日,16.19166667,25.44666667
10月27日,16.68333333,25.37652778
10月28日,16.625,25.28597222
10月29日,17.275,24.37791667
10月30日,14.89166667,24.17694444
10月31日,13.84166667,23.47791667
11月1日,14.32916667,23.36611111
11月2日,15.5875,22.76097222
11月3日,14.84583333,22.38708333
11月4日,13.65833333,22.55305556
11月5日,13.40833333,22.94513889
11月6日,12.77826087,23.17847222
11月7日,15.53333333,23.05055556
11月8日,17.29166667,23.49222222
11月9日,13.54166667,23.06694444
11月10日,11.92083333,23.01027778
11月11日,11.8875,23.16972222
11月12日,10.15,22.65736111
11月13日,13.71666667,22.39222222
11月14日,14.65,22.46916667
11月15日,13.4375,22.70152778
11月16日,14.74583333,23.26611111
11月17日,15.24166667,22.46805556
11月18日,15.7875,22.02138889
11月19日,19.07916667,21.64125
11月20日,21.87083333,21.74097222
11月21日,16.6,22.87944444
11月22日,15.04583333,22.89763889
11月23日,15.54583333,21.55041667
11月24日,11.825,20.82861111
11月25日,10.47083333,20.43666667
11月26日,12.81666667,20.46847222
11月27日,11.6375,21.97916667
11月28日,11.8125,22.22902778
11月29日,10.12083333,22.44055556
11月30日,9.9,22.18194444
12月1日,10.225,22.38583333
12月2日,8.2,22.79458333
12月3日,8.05,23.63625
12月4日,9.216666667,23.95527778
12月5日,6.629166667,23.35013889
12月6日,8.158333333,23.21861111
12月7日,9.729166667,22.30916667
12月8日,11.4,21.41388889
12月9日,9.75,21.30027778
12月10日,9.291666667,21.14763889
12月11日,10.2,21.33986111
12月12日,11.39583333,21.52111111
12月13日,9.916666667,21.48069444
12月14日,8.454166667,20.74625
12月15日,6.0875,21.76902778
12月16日,4.583333333,21.72680556
12月17日,4.254166667,22.00972222
12月18日,6.066666667,21.48625
12月19日,5.8,22.28486111
12月20日,4.4125,21.30625
12月21日,5.325,20.38416667
12月22日,5.554166667,20.87333333
12月23日,7.745833333,19.89513889
12月24日,8.0125,19.90458333
12月25日,8.65,20.61736111
12月26日,6.416666667,20.59902778
12月27日,7.754166667,20.66722222
12月28日,8.533333333,18.99055556
12月29日,8.7375,18.24111111
12月30日,6.8875,17.77694444
12月31日,3.404166667,18.80722222
1月1日,4.441666667,21.20152778
1月2日,4.804166667,21.05194444
1月3日,3.7375,23.13805556
1月4日,5.758333333,19.87430556
1月5日,6.0375,19.96986111
1月6日,5.304166667,20.93847222
1月7日,6.320833333,22.92458333
1月8日,2.395833333,22.70375
1月9日,2.870833333,20.74486111
1月10日,2.5875,21.20277778
1月11日,2.308333333,20.59486111
1月12日,3.416666667,21.29805556
1月13日,5.758333333,23.01666667
1月14日,7.9125,22.34430556
1月15日,6.554166667,22.40486111
1月16日,10.04583333,22.17583333
1月17日,6.079166667,22.35986111
1月18日,4.308333333,20.45722222
1月19日,4.370833333,18.74152778
1月20日,3.929166667,20.37763889
1月21日,4.783333333,20.25569444
1月22日,8.679166667,22.15277778
1月23日,6.35,21.87805556
1月24日,4.3375,21.52416667
1月25日,7.570833333,20.30986111
1月26日,7.525,20.51027778
1月27日,10.275,20.14097222
1月28日,4.433333333,21.72958333
1月29日,5.3125,22.26680556
1月30日,4.120833333,21.85652778
1月31日,5.4,21.97527778
2月1日,7.220833333,21.72055556
2月2日,8.841666667,19.26305556
2月3日,6.204166667,21.78680556
2月4日,6.966666667,21.92319444
2月5日,7.095833333,21.95041667
2月6日,8.866666667,22.08736111
2月7日,9.916666667,22.56069444
2月8日,6.070833333,20.37847222
2月9日,4.720833333,21.40611111
2月10日,6.654166667,20.01444444
2月11日,8.654166667,21.5025
2月12日,7.829166667,22.01444444
2月13日,10.3875,21.39180556
2月14日,12.27916667,22.02861111
2月15日,11.4125,20.50083333
2月16日,10.6375,21.65986111
2月17日,7.591666667,22.37833333
2月18日,4.2875,19.78291667
2月19日,6.895833333,21.25208333
2月20日,10.15416667,22.23319444
2月21日,13.89166667,22.01944444
2月22日,14.9,20.18388889
2月23日,11.01666667,22.02652778
2月24日,6.441666667,22.72763889
2月25日,6.629166667,22.55097222
2月26日,8.708333333,22.91208333
2月27日,5.679166667,22.32055556
2月28日,6.625,21.36569444
3月1日,11.75833333,21.56777778
