Tokyo,,,My Room,,
18.5,18,19.6,25.10708333,24.7,25.5
19.70416667,17.6,23.4,25.21347222,24.8,25.4
21.52916667,16.2,26.5,25.99111111,25.1,28.1
19.73333333,17,22.8,25.89319444,24.9,27.3
19.9875,15,24.7,25.86180556,24.9,27.1
19.47083333,17.1,23.5,26.01277778,24.7,27.8
21.03333333,16.4,25.7,25.5975,25.2,26.8
21.68333333,18.5,25.1,26.00597222,25.6,27.2
22.02916667,19.6,25.9,26.24111111,25.8,27.6
21.6875,20.3,23.7,25.54736111,24.6,26.1
20.97083333,18.9,24.2,25.49333333,25.2,27
18.30416667,14.8,22.3,25.64486111,25.2,27
14.74583333,14.1,15.4,25.80555556,25.2,27
14.5125,13.9,15.3,24.57430556,23.4,25.7
15.95416667,13.9,17,25.36777778,24.6,26.7
19.80416667,17.1,23,25.50069444,24.5,27.4
21.45,18.7,24.7,25.95763889,25,27.2
22.07916667,19.1,26,25.22541667,24.4,27
20.275,18.6,22.7,25.77513889,25.2,27.2
16.82083333,14.8,19.3,25.62819444,24,27.3
16.10833333,13.9,18.8,25.48180556,24.2,27.2
12.73333333,11.5,15.8,25.85263889,25.2,27
14.32916667,11.4,18.1,26.56777778,25.2,27.6
13.13333333,11.5,16.9,26.05861111,25.1,27.8
15.58333333,10.9,20.6,25.74277778,25.4,26.7
16.0375,12.2,20.9,25.21694444,24.2,26.1
17.4375,14.3,21.5,24.08055556,23.1,25.8
16.84583333,14.7,17.6,24.02611111,23.1,25.3
17.27916667,14.4,20.5,24.34694444,23.6,25.9
15.50833333,12.2,20.3,25.46652778,24.5,26.7
16.19166667,11.3,22.4,25.44666667,25.1,26.6
16.68333333,13.8,20.4,25.37652778,24.9,26.4
16.625,13.2,19.3,25.28597222,24.8,26.1
17.275,13.1,22.5,24.37791667,23.3,25.9
14.89166667,11.5,17.2,24.17694444,22.5,25.1
13.84166667,9.7,18.4,23.47791667,22.8,24.5
14.32916667,9.1,19.5,23.36611111,22.4,24.2
